,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
11,2019-12-01,102902.71721390818,50685.150297045824,189761.8419284971,102902.71721390818,102902.71721390818,11925.2438734833,11925.2438734833,11925.2438734833,11925.2438734833,11925.2438734833,11925.2438734833,0.0,0.0,0.0,114827.96108739148
12,2020-01-01,104104.07621856159,59306.42287435704,196019.03128672726,104104.07621856159,104104.07621856159,22388.649347092785,22388.649347092785,22388.649347092785,22388.649347092785,22388.649347092785,22388.649347092785,0.0,0.0,0.0,126492.72556565437
13,2020-02-01,105305.435223215,42120.614773864545,181041.4701984377,105305.435223215,105305.435223215,6180.4733713790365,6180.4733713790365,6180.4733713790365,6180.4733713790365,6180.4733713790365,6180.4733713790365,0.0,0.0,0.0,111485.90859459403
14,2020-03-01,106429.28719359323,36488.79704374027,178737.76128965017,106429.28719359323,106429.28719359323,1170.6391449895216,1170.6391449895216,1170.6391449895216,1170.6391449895216,1170.6391449895216,1170.6391449895216,0.0,0.0,0.0,107599.92633858275
15,2020-04-01,107630.64619641137,-912.0661830957091,133494.07566809992,107630.64619641137,107630.64619641137,-39502.923607667486,-39502.923607667486,-39502.923607667486,-39502.923607667486,-39502.923607667486,-39502.923607667486,0.0,0.0,0.0,68127.72258874388
16,2020-05-01,108793.25168300956,10913.710211256799,150119.96321569875,108793.25168300956,108793.25168300956,-28048.971074187324,-28048.971074187324,-28048.971074187324,-28048.971074187324,-28048.971074187324,-28048.971074187324,0.0,0.0,0.0,80744.28060882223
17,2020-06-01,109994.61436339135,31173.747843231977,166714.5620137586,109994.61436339135,109994.61436339135,-12030.327603558497,-12030.327603558497,-12030.327603558497,-12030.327603558497,-12030.327603558497,-12030.327603558497,0.0,0.0,0.0,97964.28675983284
18,2020-07-01,111157.22340892212,45547.70045229377,175858.46533863258,111157.22340892212,111157.22340892212,2905.6405375565246,2905.6405375565246,2905.6405375565246,2905.6405375565246,2905.6405375565246,2905.6405375565246,0.0,0.0,0.0,114062.86394647864
19,2020-08-01,112359.29452821903,54655.273658975784,196342.43032894062,112359.29452821903,112359.29452821903,14806.159144181924,14806.159144181924,14806.159144181924,14806.159144181924,14806.159144181924,14806.159144181924,0.0,0.0,0.0,127165.45367240095
20,2020-09-01,113561.36564751594,47077.88770529364,186206.46273697048,113561.36564751594,113561.36564751594,3877.7160575816874,3877.7160575816874,3877.7160575816874,3877.7160575816874,3877.7160575816874,3877.7160575816874,0.0,0.0,0.0,117439.08170509762
21,2020-10-01,114724.9426974225,47473.16859798948,186145.24981362186,114724.9426974225,114724.9426974225,3773.6068393153378,3773.6068393153378,3773.6068393153378,3773.6068393153378,3773.6068393153378,3773.6068393153378,0.0,0.0,0.0,118498.54953673785
22,2020-11-01,115927.30564899261,42580.30189812412,179388.31420910818,115927.30564899261,115927.30564899261,-4845.186500593716,-4845.186500593716,-4845.186500593716,-4845.186500593716,-4845.186500593716,-4845.186500593716,0.0,0.0,0.0,111082.1191483989
23,2020-12-01,117091.58581013446,70097.45107174599,205187.0629349045,117091.58581013446,117091.58581013446,19507.398275566393,19507.398275566393,19507.398275566393,19507.398275566393,19507.398275566393,19507.398275566393,0.0,0.0,0.0,136598.98408570085
24,2021-01-01,118294.67530998104,47056.390784828924,180202.93020959254,118294.67530998104,118294.67530998104,-5635.833630977927,-5635.833630977927,-5635.833630977927,-5635.833630977927,-5635.833630977927,-5635.833630977927,0.0,0.0,0.0,112658.84167900312
25,2021-02-01,119497.76480982761,41558.24796836675,184721.62129428948,119497.76480982761,119497.76480982761,-6636.078041771806,-6636.078041771806,-6636.078041771806,-6636.078041771806,-6636.078041771806,-6636.078041771806,0.0,0.0,0.0,112861.6867680558
